iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
0,0.200957062562,0.244282623041,0.202747772444,0.585798816568,0.488372093023,0.571428571429,0.00746812899999
50,0.227810650888,0.232558139535,0.225274725275,0.544378698225,0.53488372093,0.549450549451,0.41292811
100,0.206457704023,0.202641382155,0.201396321613,0.579881656805,0.581395348837,0.582417582418,0.816416658
150,0.183292778034,0.183831224945,0.166117761384,0.615384615385,0.604651162791,0.648351648352,1.222248931
200,0.185555038167,0.179918479184,0.189683443923,0.609467455621,0.627906976744,0.593406593407,1.620518547
250,0.178350920008,0.186819656598,0.165624005619,0.633136094675,0.581395348837,0.637362637363,2.024523197
300,0.233611717581,0.247195492677,0.203857172991,0.520710059172,0.488372093023,0.593406593407,2.436534383
350,0.176456856776,0.181928453881,0.171873678672,0.633136094675,0.627906976744,0.648351648352,2.861550629
400,0.193958103003,0.217019292885,0.173909225092,0.597633136095,0.558139534884,0.626373626374,3.278460465
450,0.179678027086,0.203810594028,0.161622818934,0.627218934911,0.581395348837,0.659340659341,3.684871801
500,0.168314950776,0.195303794113,0.169574679686,0.656804733728,0.581395348837,0.637362637363,4.098827491
550,0.185990264127,0.188632498192,0.174549401858,0.615384615385,0.627906976744,0.637362637363,4.505912105
600,0.175589178421,0.173924938436,0.164657931496,0.627218934911,0.651162790698,0.648351648352,4.921639744
650,0.17623207445,0.167789384952,0.178661253294,0.644970414201,0.651162790698,0.637362637363,5.336000718
700,0.159573026977,0.209236001779,0.147250712087,0.674556213018,0.581395348837,0.67032967033,5.748148342
750,0.145002964305,0.205334273843,0.134832159237,0.680473372781,0.581395348837,0.714285714286,6.16355547
800,0.173602015501,0.212888999492,0.149137534857,0.627218934911,0.558139534884,0.692307692308,6.583444169
850,0.170619822643,0.226816232291,0.140748058459,0.644970414201,0.53488372093,0.714285714286,6.991562573
900,0.150267678972,0.186928177445,0.145472684108,0.656804733728,0.581395348837,0.681318681319,7.407920156
950,0.15969399175,0.217329631047,0.135918201005,0.656804733728,0.53488372093,0.714285714286,7.840782751
1000,0.15828233104,0.253752281401,0.134329358287,0.674556213018,0.488372093023,0.703296703297,8.257502814
1050,0.138717207162,0.181935075847,0.141170231527,0.710059171598,0.627906976744,0.703296703297,8.669739487
1100,0.129287719363,0.175797665498,0.135141319257,0.727810650888,0.627906976744,0.714285714286,9.094361428
1150,0.131001865273,0.172660756772,0.134631607688,0.721893491124,0.627906976744,0.703296703297,9.507757214
1200,0.146872504768,0.191211462045,0.151474126364,0.692307692308,0.604651162791,0.681318681319,9.927626306
1250,0.132582625115,0.181897721111,0.140980755639,0.727810650888,0.627906976744,0.703296703297,10.330691825
1300,0.130223836452,0.177847155517,0.139937759931,0.733727810651,0.627906976744,0.703296703297,10.75223508
1350,0.129823685412,0.188643684949,0.134371032434,0.721893491124,0.604651162791,0.725274725275,11.177546623
1400,0.136481684058,0.185677206092,0.132071779423,0.710059171598,0.627906976744,0.714285714286,11.739714457
1450,0.14514011021,0.189320489787,0.15017841488,0.686390532544,0.604651162791,0.692307692308,12.202534326
1500,0.129395894896,0.190628482877,0.132885859383,0.733727810651,0.604651162791,0.725274725275,12.633246573
1550,0.129224975127,0.188660905685,0.133192766435,0.727810650888,0.604651162791,0.725274725275,13.050530644
1600,0.128975097922,0.186701353643,0.130719432662,0.739644970414,0.604651162791,0.725274725275,13.482441463
1650,0.130588590962,0.192742950388,0.134325254144,0.727810650888,0.604651162791,0.725274725275,13.888049049
1700,0.149611499414,0.206187301032,0.134156909025,0.686390532544,0.53488372093,0.725274725275,14.358627666
1750,0.13937507672,0.196947432173,0.143231344711,0.698224852071,0.604651162791,0.692307692308,14.762858311
1800,0.129745844256,0.193153978298,0.133185831933,0.727810650888,0.604651162791,0.725274725275,15.168325537
1850,0.128884971167,0.187799985394,0.13149830363,0.733727810651,0.604651162791,0.725274725275,15.62690013
1900,0.128815784815,0.191834989474,0.130257998834,0.739644970414,0.604651162791,0.725274725275,16.028055735
1950,0.151703791841,0.199406248782,0.163767932237,0.680473372781,0.604651162791,0.659340659341,16.456022057
2000,0.13240699155,0.18362611021,0.128249545953,0.710059171598,0.581395348837,0.736263736264,16.910441244
2050,0.128612606827,0.17647131679,0.133980294179,0.733727810651,0.627906976744,0.714285714286,17.324741968
2100,0.131501141254,0.184303148643,0.13806334309,0.727810650888,0.627906976744,0.703296703297,17.738204326
2150,0.136649831055,0.187591603478,0.143797347735,0.710059171598,0.604651162791,0.703296703297,18.164149401
2200,0.13882431201,0.192735067852,0.140676011026,0.698224852071,0.604651162791,0.692307692308,18.580478957
2250,0.138939127743,0.201336784217,0.148456800713,0.698224852071,0.581395348837,0.681318681319,18.986616288
2300,0.15014102739,0.21474240331,0.127446918041,0.680473372781,0.558139534884,0.714285714286,19.410586844
2350,0.13030919932,0.182654154317,0.134733551742,0.727810650888,0.604651162791,0.714285714286,19.840135219
2400,0.13065965607,0.178618117481,0.136102888415,0.733727810651,0.581395348837,0.703296703297,20.257160236
2450,0.130028965021,0.185075047852,0.134789339613,0.733727810651,0.604651162791,0.725274725275,20.67661697
2500,0.146785056097,0.199238929453,0.138205376283,0.692307692308,0.581395348837,0.703296703297,21.117192564
2550,0.132889291095,0.183694835664,0.136203758981,0.727810650888,0.627906976744,0.714285714286,21.541755307
2600,0.132818456523,0.18539884936,0.135403304627,0.715976331361,0.627906976744,0.725274725275,21.948021415
2650,0.134960068365,0.189317343158,0.134086394837,0.710059171598,0.581395348837,0.714285714286,22.352410032
2700,0.132361146848,0.180876494647,0.13216184759,0.733727810651,0.651162790698,0.725274725275,22.758197117
2750,0.132212116432,0.183665813185,0.132890413331,0.727810650888,0.627906976744,0.725274725275,23.179796537
2800,0.137420819125,0.180343739991,0.139467978682,0.704142011834,0.627906976744,0.714285714286,23.603928727
2850,0.151913470178,0.193247853603,0.158628705675,0.686390532544,0.604651162791,0.659340659341,24.00914254
2900,0.188218493544,0.242937782275,0.138941539763,0.615384615385,0.488372093023,0.714285714286,24.42650336
2950,0.136290717407,0.186153715968,0.133207692494,0.704142011834,0.627906976744,0.714285714286,24.841754787
3000,0.133975944881,0.197007142244,0.147526834744,0.715976331361,0.581395348837,0.681318681319,25.267255022
3050,0.156034231684,0.207937044735,0.152266787233,0.680473372781,0.558139534884,0.681318681319,25.685874786
3100,0.140158091618,0.210283171802,0.121598845889,0.686390532544,0.53488372093,0.736263736264,26.108519412
3150,0.148922898828,0.195222744166,0.155736370499,0.680473372781,0.604651162791,0.681318681319,26.534988718
3200,0.167099403017,0.21621392636,0.164622748696,0.639053254438,0.558139534884,0.626373626374,26.960216503
3250,0.132033166842,0.193510328759,0.137522565839,0.727810650888,0.581395348837,0.714285714286,27.396286876
3300,0.142642924197,0.195737434456,0.152275062802,0.698224852071,0.604651162791,0.67032967033,27.81464036
3350,0.135988482847,0.19452618029,0.132091312166,0.698224852071,0.581395348837,0.725274725275,28.227834785
3400,0.134385256856,0.195596998357,0.146621259189,0.710059171598,0.604651162791,0.681318681319,28.651163631
3450,0.135804822359,0.191782885535,0.144222289479,0.698224852071,0.604651162791,0.692307692308,29.078233808
3500,0.181826098071,0.209234324264,0.19097326898,0.633136094675,0.581395348837,0.604395604396,29.500999197
3550,0.137911328658,0.191914256362,0.149569568271,0.704142011834,0.604651162791,0.681318681319,29.917302638
3600,0.137083985197,0.189456388134,0.147074525636,0.698224852071,0.604651162791,0.692307692308,30.344420424
3650,0.141163222292,0.189490419506,0.152340877378,0.710059171598,0.604651162791,0.681318681319,30.772006054
3700,0.178548389389,0.213103874072,0.171509843138,0.633136094675,0.558139534884,0.648351648352,31.191766899
3750,0.135130665236,0.187536366601,0.142959037211,0.715976331361,0.604651162791,0.692307692308,31.620025502
3800,0.1435280574,0.203696305368,0.133129754014,0.698224852071,0.581395348837,0.714285714286,32.06900432
3850,0.225891797247,0.256165178406,0.174329981668,0.538461538462,0.46511627907,0.637362637363,32.486749101
3900,0.13994064054,0.177383280266,0.139077566096,0.704142011834,0.627906976744,0.703296703297,32.899244281
3950,0.134971271558,0.183641643899,0.140203287513,0.710059171598,0.627906976744,0.692307692308,33.318938532
4000,0.133348080663,0.175650051587,0.13346705135,0.715976331361,0.651162790698,0.725274725275,33.749798295
4050,0.134889276986,0.172284258167,0.135109427223,0.721893491124,0.651162790698,0.725274725275,34.163056495
4100,0.132707734055,0.179772603049,0.13244636694,0.733727810651,0.627906976744,0.725274725275,34.572501427
4150,0.132650554823,0.178053769903,0.132625413032,0.721893491124,0.627906976744,0.725274725275,34.975953214
4200,0.137519292567,0.192056547227,0.144035179669,0.721893491124,0.604651162791,0.692307692308,35.387092145
4250,0.137716623204,0.188571051343,0.142323870351,0.710059171598,0.604651162791,0.703296703297,35.811627981
4300,0.138100648998,0.18759974647,0.142021697506,0.710059171598,0.627906976744,0.703296703297,36.228991923
4350,0.144850241565,0.178597237675,0.147167342785,0.704142011834,0.627906976744,0.692307692308,36.648739177
4400,0.144684738595,0.177883649998,0.146838661301,0.704142011834,0.651162790698,0.703296703297,37.076082732
4450,0.146576711411,0.186245413845,0.146999221152,0.692307692308,0.604651162791,0.692307692308,37.496747178
4500,0.138105770686,0.182153080954,0.136859071837,0.710059171598,0.604651162791,0.714285714286,37.925854265
4550,0.138373496289,0.186624430821,0.140175514228,0.710059171598,0.627906976744,0.714285714286,38.367473224
4600,0.140215843202,0.174755851364,0.137147240499,0.715976331361,0.627906976744,0.714285714286,38.770018511
4650,0.145170401684,0.183678014839,0.134858988968,0.686390532544,0.581395348837,0.703296703297,39.183650708
4700,0.140977474326,0.184131838724,0.133537596622,0.692307692308,0.604651162791,0.692307692308,39.599057465
4750,0.135467905474,0.183821886604,0.127792403745,0.710059171598,0.627906976744,0.747252747253,40.021557874
4800,0.145788105344,0.194141691737,0.152302936628,0.680473372781,0.604651162791,0.67032967033,40.424345598
4850,0.139502419296,0.189939703657,0.129498357149,0.710059171598,0.581395348837,0.725274725275,40.867346997
4900,0.15119610175,0.181311510528,0.145766901594,0.668639053254,0.581395348837,0.692307692308,41.28610227
4950,0.139875288934,0.178221886044,0.140773586969,0.692307692308,0.627906976744,0.703296703297,41.696313657
5000,0.155486908469,0.188001628975,0.160545285414,0.662721893491,0.581395348837,0.67032967033,42.092059215
