iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
0,0.272189349112,0.267441860465,0.274725274725,0.455621301775,0.46511627907,0.450549450549,0.001998222
50,0.272189349112,0.267441860465,0.274725274725,0.455621301775,0.46511627907,0.450549450549,0.022653576
100,0.272189349112,0.267441860465,0.274725274725,0.455621301775,0.46511627907,0.450549450549,0.040023674
150,0.272189349112,0.267441860465,0.274725274725,0.455621301775,0.46511627907,0.450549450549,0.075171958
200,0.272175076879,0.267441653158,0.274724539003,0.455621301775,0.46511627907,0.450549450549,0.0966170339999
250,0.156462856177,0.17429495381,0.159553213251,0.639053254438,0.604651162791,0.626373626374,0.119681135
300,0.120434294249,0.185915792229,0.12763813828,0.680473372781,0.53488372093,0.659340659341,0.143151217
350,0.107807005649,0.169787489272,0.108260259975,0.715976331361,0.581395348837,0.703296703297,0.166428039
400,0.0997158583742,0.162369385572,0.110330831868,0.715976331361,0.581395348837,0.681318681319,0.184425729
450,0.0943178658094,0.160739919295,0.106736054516,0.751479289941,0.604651162791,0.736263736264,0.211332173
500,0.0904733267576,0.161036545395,0.0994792912821,0.751479289941,0.53488372093,0.725274725275,0.232558555
550,0.0878449112404,0.159149795373,0.101956423293,0.757396449704,0.581395348837,0.714285714286,0.256190863
600,0.0863128711415,0.157356745229,0.099046500625,0.775147928994,0.581395348837,0.714285714286,0.270504185
650,0.0862225467471,0.158234654776,0.0972144023896,0.781065088757,0.581395348837,0.747252747253,0.288986929
700,0.0842136976989,0.157734973422,0.0954971235568,0.786982248521,0.581395348837,0.747252747253,0.308062476
750,0.0833513721973,0.154882081258,0.094141617196,0.781065088757,0.604651162791,0.736263736264,0.329225971
800,0.0889550115353,0.158853622865,0.103236845395,0.751479289941,0.581395348837,0.725274725275,0.355295961
850,0.0819782271999,0.154134606607,0.0942419945026,0.786982248521,0.581395348837,0.758241758242,0.372987645
900,0.0815087307377,0.150889572032,0.0924864055229,0.804733727811,0.581395348837,0.758241758242,0.387118961
950,0.0811090887205,0.1477898318,0.09206696405,0.798816568047,0.581395348837,0.758241758242,0.404974701
1000,0.0806722874424,0.126773783476,0.0825793035273,0.798816568047,0.627906976744,0.747252747253,0.445760709
1050,0.0791906023161,0.125519915666,0.0807526752898,0.786982248521,0.604651162791,0.747252747253,0.46975094
1100,0.100890603991,0.14740909561,0.106301465124,0.692307692308,0.511627906977,0.692307692308,0.484970405
1150,0.0772471827447,0.122446072057,0.0782669528818,0.792899408284,0.604651162791,0.758241758242,0.510991285
1200,0.178948082653,0.21126781851,0.186670076602,0.556213017751,0.511627906977,0.549450549451,0.535874057
1250,0.0756060822478,0.117011799842,0.0769604447007,0.786982248521,0.604651162791,0.791208791209,0.560914763
1300,0.0753952656082,0.120201996717,0.0783146893615,0.810650887574,0.604651162791,0.747252747253,0.586244961
1350,0.0754951860886,0.120494514329,0.0776011531281,0.804733727811,0.604651162791,0.758241758242,0.611490309
1400,0.0741378543167,0.13411388054,0.074634712449,0.816568047337,0.604651162791,0.791208791209,0.638698703
1450,0.0732669558095,0.13099709222,0.0740256049449,0.822485207101,0.627906976744,0.78021978022,0.662077707
