iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
0,0.272189349112,0.267441860465,0.274725274725,0.455621301775,0.46511627907,0.450549450549,0.000445455000005
50,0.272189349112,0.267441860465,0.274725274725,0.455621301775,0.46511627907,0.450549450549,0.022866586
100,0.272189349112,0.267441860465,0.274725274725,0.455621301775,0.46511627907,0.450549450549,0.04311963
150,0.272189349112,0.267441860465,0.274725274725,0.455621301775,0.46511627907,0.450549450549,0.0674463
200,0.27218931254,0.267441860435,0.269230779766,0.455621301775,0.46511627907,0.461538461538,0.08593959
250,0.268392161399,0.292327536056,0.283734144629,0.426035502959,0.348837209302,0.406593406593,0.108189729
300,0.246898316837,0.251697609093,0.265465099678,0.502958579882,0.488372093023,0.450549450549,0.124710135
350,0.227810650888,0.232558198137,0.225274725275,0.544378698225,0.53488372093,0.549450549451,0.149534904
400,0.227810650888,0.232558139535,0.225274725275,0.544378698225,0.53488372093,0.549450549451,0.167279997
450,0.227810650888,0.232558141026,0.225274725275,0.544378698225,0.53488372093,0.549450549451,0.191494601
500,0.227810650888,0.23255814047,0.225274725275,0.544378698225,0.53488372093,0.549450549451,0.214969215
550,0.227810650888,0.232558139535,0.225274725275,0.544378698225,0.53488372093,0.549450549451,0.237910218
600,0.227810650888,0.232558139535,0.225274725275,0.544378698225,0.53488372093,0.549450549451,0.264420868
650,0.227810650888,0.244186046489,0.225274725275,0.544378698225,0.511627906977,0.549450549451,0.286999977
700,0.227810599898,0.244186046511,0.225274721035,0.544378698225,0.511627906977,0.549450549451,0.307428081
750,0.227809890837,0.244186046496,0.225274619128,0.544378698225,0.511627906977,0.549450549451,0.330136235
800,0.227782388113,0.244186046511,0.225268395373,0.544378698225,0.511627906977,0.549450549451,0.351429545
850,0.229698866626,0.244186046512,0.222066144189,0.538461538462,0.511627906977,0.549450549451,0.367439155
900,0.225568794065,0.244186046512,0.222740108544,0.550295857988,0.511627906977,0.549450549451,0.388804832
950,0.224937397923,0.244186046512,0.220398731499,0.550295857988,0.511627906977,0.56043956044,0.418015449
1000,0.224859706566,0.244186046512,0.219810057243,0.550295857988,0.511627906977,0.56043956044,0.442131982
1050,0.224858216459,0.244186046512,0.219844326817,0.550295857988,0.511627906977,0.56043956044,0.468245352
1100,0.224856157273,0.244186046512,0.219829227924,0.550295857988,0.511627906977,0.56043956044,0.488773639
