iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
0,0.272189349112,0.267441860465,0.274725274725,0.455621301775,0.46511627907,0.450549450549,0.048471628
10,0.231087475896,0.256723388983,0.216266428186,0.538461538462,0.488372093023,0.56043956044,0.107747028
20,0.221564120803,0.229983336668,0.237329536903,0.502958579882,0.46511627907,0.505494505495,0.144279989
30,0.197416040203,0.212449510343,0.210022906356,0.562130177515,0.511627906977,0.538461538462,0.189049409
40,0.153388251175,0.165890614608,0.149801096306,0.639053254438,0.604651162791,0.659340659341,0.219536489
50,0.120976354308,0.112796252188,0.11461760308,0.698224852071,0.720930232558,0.725274725275,0.273501744
60,0.110515582665,0.104319922279,0.104015775546,0.733727810651,0.744186046512,0.758241758242,0.296060891
70,0.103635055293,0.106269806493,0.092272231992,0.751479289941,0.720930232558,0.78021978022,0.352769864
80,0.0955646417618,0.0975398681812,0.0870755026658,0.769230769231,0.767441860465,0.791208791209,0.397679151
90,0.08489358497,0.0960278393077,0.082390811381,0.786982248521,0.767441860465,0.813186813187,0.446700368
100,0.0862860665575,0.0759669635622,0.0793367215227,0.786982248521,0.790697674419,0.802197802198,0.481503847
110,0.0789644823097,0.0771492268926,0.0723823128089,0.798816568047,0.813953488372,0.802197802198,0.518069222
120,0.0743881063435,0.0847757608886,0.0697081930706,0.804733727811,0.790697674419,0.813186813187,0.566623652
130,0.0659878080802,0.0849872016874,0.0683865205055,0.816568047337,0.790697674419,0.824175824176,0.590947872
140,0.064706063874,0.0882839044142,0.0695270179036,0.816568047337,0.813953488372,0.835164835165,0.618692896
150,0.0631764117315,0.0907184653229,0.0744810090688,0.816568047337,0.813953488372,0.824175824176,0.671840314
160,0.0625246561557,0.0945468790167,0.079334574627,0.816568047337,0.813953488372,0.802197802198,0.702317168
170,0.0624684687507,0.0943075507325,0.0815633189486,0.816568047337,0.813953488372,0.791208791209,0.73158586
180,0.0625346488196,0.0932771497864,0.0821495920733,0.810650887574,0.790697674419,0.802197802198,0.75172222
190,0.0618275756771,0.094358525933,0.0839891507597,0.822485207101,0.790697674419,0.791208791209,0.774496602
200,0.0602441107285,0.0934331656707,0.0837121405706,0.828402366864,0.790697674419,0.802197802198,0.795199731
210,0.0596008322539,0.0936022846453,0.0839717583856,0.822485207101,0.767441860465,0.802197802198,0.8192781
220,0.0589537827911,0.0945799356437,0.0853661316548,0.828402366864,0.767441860465,0.813186813187,0.855802562
230,0.0574010278434,0.0920966497097,0.0819450964108,0.840236686391,0.790697674419,0.802197802198,0.930774059
240,0.056750549931,0.0926592027956,0.0813853457648,0.846153846154,0.790697674419,0.802197802198,0.959908706
250,0.0559764914305,0.0943966982683,0.0814251924035,0.846153846154,0.790697674419,0.813186813187,1.000235182
260,0.0548568069696,0.100469530496,0.0819016003852,0.846153846154,0.767441860465,0.813186813187,1.029516031
270,0.0525822843675,0.105793602654,0.0820576661854,0.846153846154,0.744186046512,0.813186813187,1.070235236
280,0.0521704220801,0.104070145217,0.0815506653775,0.85798816568,0.767441860465,0.813186813187,1.09968123
290,0.0518939080829,0.104150174406,0.08127198258,0.852071005917,0.767441860465,0.813186813187,1.14909349
300,0.0515093619509,0.103309254503,0.0809099793492,0.852071005917,0.767441860465,0.813186813187,1.183521976
310,0.051152958086,0.102911417061,0.0810356900524,0.840236686391,0.744186046512,0.813186813187,1.203958459
320,0.0508346241228,0.103601283055,0.0799067269782,0.840236686391,0.744186046512,0.802197802198,1.251616658
330,0.0506612906703,0.102428657817,0.0797972962057,0.840236686391,0.720930232558,0.802197802198,1.304481425
340,0.0504587604524,0.103055466308,0.0798471962371,0.840236686391,0.720930232558,0.802197802198,1.353811489
350,0.0502491552973,0.10304331071,0.0798754943984,0.840236686391,0.720930232558,0.802197802198,1.384545259
360,0.0499805552083,0.103277154897,0.0800697109581,0.840236686391,0.720930232558,0.802197802198,1.422651266
370,0.0497576181345,0.103255982177,0.0800271451351,0.840236686391,0.720930232558,0.802197802198,1.464317582
380,0.0496528869339,0.10278674692,0.0799962574999,0.846153846154,0.720930232558,0.802197802198,1.50479978
390,0.0495697672846,0.102260107829,0.080014013689,0.846153846154,0.720930232558,0.802197802198,1.523630633
