iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
0,0.273506479753,0.253471883465,0.27503876535,0.449704142012,0.488372093023,0.450549450549,0.000538860000006
50,0.270497316317,0.267230218898,0.273642742387,0.455621301775,0.46511627907,0.450549450549,0.030743263
100,0.260509968022,0.25839562784,0.255642123116,0.467455621302,0.488372093023,0.472527472527,0.054355659
150,0.169423784956,0.218462222223,0.164964996253,0.579881656805,0.488372093023,0.571428571429,0.0809604639999
200,0.158326053873,0.247142943501,0.149501626435,0.609467455621,0.441860465116,0.659340659341,0.101554694
250,0.154409861501,0.234831815612,0.177667206693,0.639053254438,0.46511627907,0.56043956044,0.125542484
300,0.144843251204,0.22527829883,0.167446540905,0.639053254438,0.418604651163,0.571428571429,0.14671941
350,0.143667166894,0.220735558666,0.165035508279,0.633136094675,0.418604651163,0.593406593407,0.171469021
400,0.14120111285,0.219038933739,0.162867406488,0.639053254438,0.46511627907,0.604395604396,0.195173238
450,0.141102864577,0.219242710289,0.162806957222,0.639053254438,0.46511627907,0.604395604396,0.222430527
500,0.137817767849,0.210986163481,0.157630985712,0.633136094675,0.418604651163,0.593406593407,0.244595219
550,0.135747954119,0.211181603483,0.157267861346,0.662721893491,0.488372093023,0.582417582418,0.264892092
600,0.134041175082,0.203250984631,0.153020349799,0.644970414201,0.511627906977,0.604395604396,0.284074161
650,0.13356823852,0.2026257404,0.152421363849,0.644970414201,0.511627906977,0.604395604396,0.304603985
700,0.131323147223,0.202046103042,0.151381621267,0.650887573964,0.511627906977,0.604395604396,0.329577981
750,0.114644698877,0.181391966971,0.12289328979,0.686390532544,0.53488372093,0.692307692308,0.347139718
800,0.114319282313,0.180276454742,0.121796247658,0.692307692308,0.558139534884,0.692307692308,0.364737716
850,0.111651148893,0.173071191989,0.114953352629,0.692307692308,0.558139534884,0.714285714286,0.382156712
900,0.204415687132,0.234745251997,0.20770791944,0.562130177515,0.511627906977,0.56043956044,0.399827176
950,0.120838834712,0.180817312671,0.110237322354,0.674556213018,0.53488372093,0.714285714286,0.420842481
1000,0.109621800716,0.169379282033,0.111912045833,0.710059171598,0.581395348837,0.725274725275,0.447227408
1050,0.109099075854,0.167961222745,0.109915924417,0.715976331361,0.581395348837,0.725274725275,0.474118492
1100,0.108238910963,0.165999436755,0.106564995484,0.721893491124,0.604651162791,0.725274725275,0.501134616
1150,0.107667169579,0.165588710035,0.108283314071,0.710059171598,0.604651162791,0.725274725275,0.526400231
1200,0.106430453163,0.163654664743,0.109362724861,0.733727810651,0.604651162791,0.714285714286,0.556123622
1250,0.15062428665,0.205704594657,0.127921039316,0.591715976331,0.46511627907,0.626373626374,0.585763417
1300,0.10525324033,0.161689308242,0.103710036085,0.721893491124,0.627906976744,0.747252747253,0.602924937
1350,0.10521909838,0.161336927451,0.103883102092,0.715976331361,0.627906976744,0.736263736264,0.623735693
1400,0.103975421419,0.15906909546,0.102488308879,0.721893491124,0.627906976744,0.747252747253,0.649216668
1450,0.103610957894,0.158353481698,0.102669289149,0.721893491124,0.627906976744,0.736263736264,0.666194201
1500,0.247676158015,0.258695029208,0.246833251301,0.473372781065,0.46511627907,0.461538461538,0.690309568
1550,0.111213797043,0.165469001886,0.0969905422481,0.692307692308,0.581395348837,0.769230769231,0.708154984
1600,0.100973179743,0.156628464083,0.096034528537,0.739644970414,0.627906976744,0.747252747253,0.735803672
1650,0.219104341094,0.244711162994,0.200221187369,0.491124260355,0.46511627907,0.505494505495,0.757082223
1700,0.100129254075,0.150059386104,0.0958781606819,0.733727810651,0.627906976744,0.747252747253,0.778153662
1750,0.0981200024441,0.145918538787,0.0919229757834,0.739644970414,0.627906976744,0.758241758242,0.802388817
1800,0.0979119744402,0.145525756654,0.0909877139614,0.739644970414,0.627906976744,0.78021978022,0.832190549
1850,0.0971517960781,0.142034175312,0.0901134707522,0.733727810651,0.627906976744,0.78021978022,0.861721627
