iterations,fitness,time,fevals
0,21.0,0.095510512,1000
10,27.0,0.182354282,2100
20,33.0,0.260104523,3200
30,34.0,0.33256126,4300
40,35.0,0.40157742,5400
50,39.0,0.467157545,6500
60,38.0,0.529992767,7600
70,37.0,0.593951544,8700
80,38.0,0.656898841,9800
90,39.0,0.717204584,10900
100,40.0,0.779030038,12000
110,41.0,0.842227543,13100
120,48.0,0.902466401,14200
130,41.0,0.961643709,15300
140,41.0,1.023742018,16400
150,39.0,1.083691192,17500
160,43.0,1.143928068,18600
170,42.0,1.208781331,19700
180,55.0,1.277475039,20800
190,60.0,1.338776066,21900
200,56.0,1.400818659,23000
210,48.0,1.464707848,24100
220,49.0,1.52824808,25200
230,48.0,1.596352944,26300
240,52.0,1.672664792,27400
250,49.0,1.739636819,28500
260,49.0,1.806343111,29600
270,55.0,1.874206481,30700
280,61.0,1.940312686,31800
290,57.0,2.002937595,32900
300,57.0,2.067546891,34000
310,58.0,2.134824853,35100
320,58.0,2.199873635,36200
330,63.0,2.267825344,37300
340,61.0,2.336054064,38400
350,63.0,2.402003124,39500
360,66.0,2.465966003,40600
370,63.0,2.533115169,41700
380,64.0,2.597070558,42800
390,63.0,2.660094771,43900
400,62.0,2.719833428,45000
410,64.0,2.779108004,46100
420,63.0,2.838699031,47200
430,63.0,2.897651394,48300
440,63.0,2.95665725,49400
450,64.0,3.015497928,50500
460,61.0,3.072268809,51600
470,64.0,3.128410065,52700
480,64.0,3.188535729,53800
490,63.0,3.245243794,54900
500,63.0,3.301161297,56000
510,62.0,3.359855914,57100
520,62.0,3.417520808,58200
530,63.0,3.474256464,59300
540,62.0,3.555194776,60400
550,64.0,3.638524833,61500
560,64.0,3.704116534,62600
570,64.0,3.763091146,63700
580,65.0,3.819833514,64800
590,62.0,3.877040285,65900
600,64.0,3.933078719,67000
610,64.0,3.991702215,68100
620,63.0,4.04962873,69200
630,64.0,4.107873919,70300
640,61.0,4.166673763,71400
650,64.0,4.223144976,72500
660,64.0,4.28192088,73600
670,64.0,4.341750728,74700
680,64.0,4.400213622,75800
690,64.0,4.459170496,76900
700,64.0,4.518358939,78000
710,64.0,4.575045858,79100
720,64.0,4.632616371,80200
730,64.0,4.691865176,81300
740,64.0,4.749394323,82400
750,64.0,4.806237434,83500
760,63.0,4.868695373,84600
770,65.0,4.925851403,85700
780,63.0,4.984811113,86800
790,66.0,5.042543206,87900
800,66.0,5.102998405,89000
810,63.0,5.159770523,90100
