iterations,fitness,time,fevals
0,21.0,0.000891421999995,677
10,23.0,0.00188096399999,1251
20,25.0,0.003155176,1840
30,26.0,0.004827694,2429
40,28.0,0.006008657,2996
50,27.0,0.006890195,3574
60,27.0,0.007537562,4159
70,27.0,0.008100296,4744
80,29.0,0.008726348,5318
90,31.0,0.009273095,5897
100,32.0,0.009990135,6485
110,36.0,0.010610272,7053
120,47.0,0.011180382,7611
130,40.0,0.0119025,8203
140,37.0,0.012517677,8766
150,46.0,0.0131901,9323
160,48.0,0.014608465,9894
170,49.0,0.015525393,10487
180,49.0,0.016525856,11059
190,48.0,0.017061153,11656
200,50.0,0.017989474,12233
210,50.0,0.018528477,12820
220,53.0,0.019076468,13410
230,55.0,0.019597559,13981
240,56.0,0.020137551,14560
250,56.0,0.020676897,15162
260,56.0,0.021251193,15742
270,56.0,0.021728948,16319
280,56.0,0.02239169,16885
290,57.0,0.023070511,17452
300,56.0,0.03358606,18033
310,56.0,0.034182812,18597
320,55.0,0.034753412,19159
330,54.0,0.035323216,19745
340,55.0,0.035882698,20319
350,57.0,0.036593276,20877
360,56.0,0.037664759,21454
370,56.0,0.038395791,22046
380,56.0,0.03981659,22622
390,55.0,0.040901419,23216
400,55.0,0.041817991,23797
410,56.0,0.042339244,24383
420,57.0,0.042876171,24956
430,57.0,0.04340377,25531
440,56.0,0.043903036,26099
450,56.0,0.04439688,26662
460,56.0,0.044967529,27225
470,56.0,0.045477511,27806
480,56.0,0.046007761,28388
490,56.0,0.04667135,28963
500,58.0,0.047451895,29526
510,56.0,0.04832674,30097
520,54.0,0.04939035,30680
530,54.0,0.050263936,31256
540,56.0,0.051313985,31823
550,57.0,0.052125906,32396
560,57.0,0.052876195,32960
570,57.0,0.0534152,33532
580,58.0,0.05401483,34121
590,59.0,0.054506713,34714
600,58.0,0.055004502,35292
610,55.0,0.055504999,35868
620,56.0,0.056104185,36445
630,55.0,0.056638889,37018
640,57.0,0.057169974,37577
650,56.0,0.0579044,38143
660,55.0,0.060005835,38702
670,56.0,0.060955857,39281
680,55.0,0.061828894,39857
690,55.0,0.062331765,40435
700,55.0,0.062841075,40998
710,55.0,0.063342627,41573
720,57.0,0.063835379,42142
730,57.0,0.064451679,42708
740,56.0,0.064937571,43268
750,57.0,0.065431333,43844
760,58.0,0.065927312,44423
770,58.0,0.066625647,45002
780,57.0,0.067112157,45588
790,58.0,0.06779392,46151
800,58.0,0.068697776,46729
810,58.0,0.069575644,47302
820,58.0,0.070543244,47873
830,58.0,0.072364046,48441
840,60.0,0.072925296,49006
850,57.0,0.073519404,49568
860,60.0,0.074011603,50150
870,57.0,0.074529179,50725
880,58.0,0.075012807,51286
890,56.0,0.075620971,51865
900,55.0,0.076127136,52425
910,57.0,0.076650152,52994
920,58.0,0.077265029,53570
930,59.0,0.07797253,54153
940,58.0,0.078748314,54726
950,57.0,0.079490369,55303
960,58.0,0.08053491,55880
970,57.0,0.081554897,56457
980,58.0,0.082204496,57031
990,59.0,0.082724945,57612
1000,59.0,0.083223272,58191
1010,60.0,0.083696381,58771
1020,60.0,0.08424295,59335
1030,59.0,0.084796782,59916
1040,59.0,0.085352395,60490
1050,59.0,0.085876296,61067
1060,58.0,0.086392611,61651
1070,59.0,0.087019866,62212
1080,58.0,0.08791634,62791
1090,59.0,0.088679234,63368
1100,60.0,0.089714746,63944
1110,58.0,0.090570698,64524
1120,57.0,0.091583187,65090
1130,58.0,0.092133994,65674
1140,56.0,0.092694841,66240
1150,56.0,0.093184431,66824
1160,58.0,0.093773875,67400
1170,56.0,0.094284558,67987
1180,58.0,0.094875522,68559
1190,60.0,0.095439786,69144
1200,60.0,0.095997299,69719
1210,61.0,0.096635763,70291
1220,61.0,0.097361844,70872
1230,61.0,0.098608638,71444
1240,61.0,0.100002558,72018
1250,62.0,0.101129807,72590
1260,61.0,0.101721979,73151
1270,61.0,0.102288079,73732
1280,61.0,0.102853567,74315
1290,60.0,0.103384684,74897
1300,60.0,0.103948489,75468
1310,62.0,0.104493184,76034
1320,62.0,0.105098892,76609
1330,61.0,0.105772472,77175
1340,61.0,0.106267725,77746
1350,61.0,0.106822046,78325
1360,62.0,0.107474583,78897
1370,61.0,0.108353987,79477
1380,61.0,0.110752352,80054
1390,61.0,0.111503324,80629
1400,60.0,0.112136483,81198
1410,61.0,0.112758181,81775
1420,61.0,0.113352732,82355
1430,61.0,0.113908853,82915
1440,62.0,0.114486736,83489
1450,62.0,0.114979827,84055
1460,62.0,0.115508064,84634
1470,60.0,0.116045737,85210
1480,62.0,0.11660225,85791
1490,59.0,0.117297291,86370
1500,60.0,0.117879737,86942
1510,60.0,0.118602122,87524
1520,60.0,0.12118192,88106
1530,60.0,0.121744702,88684
1540,60.0,0.122753811,89251
1550,60.0,0.123349531,89813
1560,60.0,0.12390253,90384
1570,61.0,0.124438957,90948
1580,61.0,0.124994422,91536
1590,61.0,0.125546967,92117
1600,61.0,0.12609282,92692
1610,61.0,0.126633543,93259
1620,62.0,0.127221106,93855
1630,61.0,0.127770659,94428
1640,61.0,0.129017181,95001
1650,61.0,0.130723335,95586
1660,62.0,0.132351876,96158
1670,61.0,0.133316872,96728
1680,60.0,0.133873359,97294
1690,61.0,0.134431635,97883
1700,63.0,0.134981399,98470
1710,61.0,0.135532682,99038
1720,61.0,0.136095055,99612
1730,62.0,0.136815375,100192
1740,63.0,0.137333878,100780
1750,62.0,0.137848377,101358
1760,61.0,0.138481715,101935
1770,61.0,0.139142653,102516
1780,60.0,0.139907947,103089
1790,60.0,0.141048978,103664
1800,60.0,0.141697944,104243
1810,61.0,0.143145738,104825
1820,62.0,0.143631613,105411
1830,62.0,0.144145559,105992
1840,62.0,0.144671335,106559
1850,63.0,0.145191217,107141
1860,62.0,0.145717342,107716
1870,63.0,0.146249821,108293
1880,64.0,0.146769288,108873
1890,62.0,0.147270783,109443
1900,62.0,0.147928268,110018
1910,62.0,0.148681962,110606
1920,63.0,0.149472162,111188
1930,63.0,0.152147214,111760
1940,64.0,0.152814824,112344
1950,64.0,0.153471569,112921
1960,63.0,0.15400956,113499
1970,63.0,0.154520074,114076
1980,62.0,0.154990268,114659
1990,62.0,0.155499442,115226
2000,62.0,0.156083854,115788
2010,63.0,0.156580926,116359
2020,66.0,0.157118066,116946
2030,65.0,0.157645527,117520
2040,64.0,0.158265455,118104
2050,63.0,0.159046814,118692
2060,63.0,0.159760016,119265
2070,63.0,0.160996585,119841
2080,64.0,0.16174664,120422
2090,63.0,0.162922311,121008
2100,64.0,0.1636652,121564
2110,63.0,0.164335962,122137
2120,63.0,0.164850962,122725
2130,64.0,0.165393351,123303
2140,62.0,0.16593084,123870
2150,61.0,0.166421982,124447
2160,62.0,0.166913107,125041
2170,63.0,0.167509797,125627
2180,62.0,0.168096327,126202
2190,62.0,0.168798977,126793
2200,62.0,0.169512101,127366
2210,62.0,0.170640579,127931
2220,63.0,0.171649149,128525
2230,64.0,0.172572517,129097
2240,65.0,0.173106235,129670
2250,65.0,0.173767143,130252
2260,64.0,0.174315739,130840
2270,64.0,0.17487332,131418
2280,64.0,0.175412842,131997
2290,63.0,0.1759266,132574
2300,63.0,0.176460747,133170
2310,64.0,0.176983578,133740
2320,63.0,0.177512916,134324
2330,63.0,0.178230425,134881
2340,64.0,0.178797461,135448
2350,66.0,0.179518409,136034
2360,64.0,0.180533323,136616
2370,65.0,0.181684145,137191
2380,63.0,0.183618741,137779
2390,64.0,0.184181911,138367
2400,64.0,0.184670015,138942
2410,65.0,0.185211264,139514
2420,64.0,0.185680058,140083
2430,63.0,0.186197085,140664
2440,63.0,0.186717728,141250
2450,64.0,0.187261177,141813
2460,63.0,0.187769616,142397
2470,61.0,0.188276654,142971
2480,60.0,0.188929479,143546
2490,59.0,0.189565973,144127
2500,59.0,0.190303853,144703
2510,60.0,0.191324601,145285
2520,61.0,0.192607941,145864
2530,60.0,0.193554145,146452
2540,60.0,0.194142026,147035
2550,59.0,0.194711402,147617
2560,63.0,0.195222101,148199
2570,61.0,0.195716123,148756
2580,59.0,0.196201078,149336
2590,59.0,0.19668565,149920
2600,61.0,0.197304376,150494
2610,59.0,0.197799482,151068
2620,61.0,0.198360022,151639
2630,62.0,0.199182844,152209
2640,60.0,0.199989451,152793
2650,63.0,0.200780606,153356
2660,62.0,0.201674658,153928
2670,64.0,0.20280909,154514
2680,65.0,0.203436092,155094
2690,64.0,0.204089061,155679
2700,65.0,0.204641799,156265
2710,64.0,0.205179722,156842
2720,64.0,0.205713931,157421
2730,65.0,0.206308542,157976
2740,65.0,0.206835918,158549
2750,65.0,0.207363873,159136
2760,65.0,0.207825684,159718
2770,65.0,0.208513626,160292
2780,64.0,0.209271539,160873
2790,65.0,0.210102099,161444
2800,65.0,0.212107856,162030
2810,66.0,0.212711924,162611
2820,65.0,0.213948128,163180
2830,65.0,0.214671389,163761
2840,65.0,0.215222897,164344
2850,65.0,0.215781352,164937
2860,66.0,0.216281031,165507
2870,69.0,0.216814415,166073
2880,69.0,0.217300501,166644
2890,70.0,0.21782087,167223
2900,70.0,0.21834554,167794
2910,70.0,0.218924285,168379
2920,70.0,0.219441332,168945
2930,72.0,0.220106849,169525
2940,73.0,0.222624729,170106
2950,73.0,0.224205817,170702
2960,72.0,0.225569094,171286
2970,68.0,0.226063569,171865
2980,68.0,0.226556381,172446
2990,67.0,0.227034662,173034
3000,67.0,0.227514925,173625
3010,66.0,0.227981326,174211
3020,67.0,0.228456404,174789
3030,66.0,0.228981926,175361
3040,67.0,0.229678299,175925
3050,67.0,0.230414223,176505
3060,68.0,0.231316926,177078
3070,68.0,0.232597276,177654
3080,67.0,0.233189996,178228
3090,70.0,0.23421318,178812
3100,67.0,0.235082838,179386
3110,69.0,0.235577862,179958
3120,69.0,0.236119037,180530
3130,69.0,0.236589588,181109
3140,68.0,0.237109389,181694
3150,68.0,0.237642888,182283
3160,68.0,0.238158216,182857
3170,68.0,0.238683919,183425
3180,68.0,0.239207954,183991
3190,67.0,0.239963414,184568
3200,65.0,0.240464066,185150
3210,66.0,0.241089885,185741
3220,66.0,0.242627845,186328
3230,66.0,0.243319242,186900
3240,65.0,0.244230236,187475
3250,65.0,0.244938719,188049
3260,65.0,0.245474701,188625
3270,65.0,0.24601352,189200
